,strain,plasmid,backbone,iptg,log_mean_gfp,log_mean_v,log_std_gfp,log_std_v,log_rho,fit_goodness,std_gfp_correct,volume_decomposed_log_mean_gfp,rrpu
33,KT2440,1818,pSeva221,500,1.337740616897562,2.497518328998104,0.6710352710737988,0.7665708148635297,0.26051613063252355,0.9832731190900996,0.6478640842576912,1.3674278892959588,0.2772982614863423
34,KT2440,1818,pSeva221,1000,1.8056452146752782,2.520701604739666,0.6509473213277532,0.7733788091832068,0.2773141378192544,0.9761346143881348,0.6254167136385445,1.8306195566078196,0.5176737540815801
35,KT2440,1818,pSeva221,2000,2.2015008964691085,2.6537298538799257,0.6023005234308095,0.745932623464136,0.3614236576922055,0.9772866859278564,0.5615860350253106,2.1939039667476403,0.801696639820268
36,KT2440,Amer_f1,pSeva221,0,4.9434704044429205,2.6346135592496935,0.5712013041458214,0.7201199411208236,0.4605418003572134,0.9785064921282888,0.5070199932094032,4.940944067718489,14.411535200408009
37,KT2440,Amer_f1,pSeva221,5,4.789086035196188,2.539654356096789,0.6173047114185929,0.7248707761836299,0.3538359272028269,0.9824667568551624,0.5773697320063693,4.815616087741123,12.698567437216104
38,KT2440,Amer_f1,pSeva221,10,4.777785815554366,2.5270500091786507,0.6174357782928239,0.7321147458811263,0.3977661527316125,0.9795432404217655,0.5664891964745717,4.811549112553634,12.646497024206063
39,KT2440,Amer_f1,pSeva221,20,4.752185723594037,2.559681768059608,0.6252429861712017,0.7413628440033814,0.3602161055664443,0.9770968746608859,0.5832697275946302,4.772848688495063,12.161459651014331
40,KT2440,Amer_f1,pSeva221,30,4.6711539713272145,2.5174854986136777,0.6057057164791078,0.7229279154000314,0.37915794038324335,0.9830287776540017,0.5604788643739862,4.706165980364943,11.36851584512385
41,KT2440,Amer_f1,pSeva221,40,4.686188176785391,2.5396125110249517,0.6152805633715238,0.7294166107529917,0.3707424311035023,0.9814444671597464,0.5714330410579627,4.713735118099076,11.455885338471171
42,KT2440,Amer_f1,pSeva221,70,4.671656671781683,2.541648711494599,0.6113828858468235,0.7372839497804952,0.3830823486180479,0.9815039665071812,0.5647430502807181,4.698991545845977,11.286310614139545
43,KT2440,Amer_f1,pSeva221,100,4.714325431869252,2.6030463844698555,0.619144076808521,0.7537597003651739,0.3496952910668068,0.9841296182588009,0.5800534821021571,4.721406373698784,11.545110902096642
44,KT2440,Amer_f1,pSeva221,200,4.595450769217169,2.5347567551147487,0.6195063372013269,0.7265054829629398,0.371960907735041,0.98121236164636,0.5750557632985176,4.624929708888347,10.471297969867276
