,strain,plasmid,backbone,iptg,rrpu
173,KT2440,Phif_p2,pSeva221,40,15.94125244834475
174,KT2440,Phif_p2,pSeva221,70,16.911295768089612
175,KT2440,Phif_p2,pSeva221,100,16.262972889012516
176,KT2440,Phif_p2,pSeva221,200,15.777513680271676
177,KT2440,Phif_p2,pSeva221,500,16.13594536861925
178,KT2440,Phif_p2,pSeva221,1000,14.457100811439009
179,KT2440,Phif_p2,pSeva221,2000,14.328378413611839
180,KT2440,Phif_p3,pSeva221,1,20.411245682810673
181,KT2440,Phif_p3,pSeva221,5,18.38139518652581
182,KT2440,Phif_p3,pSeva221,10,18.12007128219809
183,KT2440,Phif_p3,pSeva221,20,15.145591462490735
184,KT2440,Phif_p3,pSeva221,30,14.6226393625155
185,KT2440,Phif_p3,pSeva221,40,14.800504015013304
186,KT2440,Phif_p3,pSeva221,70,14.262843275887935
187,KT2440,Phif_p3,pSeva221,100,13.205707383824706
188,KT2440,Phif_p3,pSeva221,200,9.967016682025033
189,KT2440,Phif_p3,pSeva221,500,7.667637730120743
190,KT2440,Phif_p3,pSeva221,1000,5.992996495728612
191,KT2440,Phif_p3,pSeva221,2000,4.193937465659899
192,KT2440,Psra_r1,pSeva221,1,15.8437072658435
193,KT2440,Psra_r1,pSeva221,5,16.576349404609132
194,KT2440,Psra_r1,pSeva221,10,16.74175927698193
195,KT2440,Psra_r1,pSeva221,20,16.92493446172771
196,KT2440,Psra_r1,pSeva221,30,16.24483697816034
197,KT2440,Psra_r1,pSeva221,40,15.991077109313649
198,KT2440,Psra_r1,pSeva221,70,15.171080387298437
199,KT2440,Psra_r1,pSeva221,100,14.590952570412169
200,KT2440,Psra_r1,pSeva221,200,13.194579020931108
201,KT2440,Psra_r1,pSeva221,500,11.71139844309463
202,KT2440,Psra_r1,pSeva221,1000,10.315917155387194
203,KT2440,Psra_r1,pSeva221,2000,8.147076050009709
204,KT2440,Qacr_q1,pSeva221,1,3.5136375975487355
205,KT2440,Qacr_q1,pSeva221,5,3.61477435168226
206,KT2440,Qacr_q1,pSeva221,10,3.4270327595972363
207,KT2440,Qacr_q1,pSeva221,20,3.1863263348310955
208,KT2440,Qacr_q1,pSeva221,30,3.0381053543711287
209,KT2440,Qacr_q1,pSeva221,40,3.0050338465424047
210,KT2440,Qacr_q1,pSeva221,70,2.7884393953478206
211,KT2440,Qacr_q1,pSeva221,100,2.6746075490408106
212,KT2440,Qacr_q1,pSeva221,200,2.220770914895389
213,KT2440,Qacr_q1,pSeva221,500,1.7098920110011426
214,KT2440,Qacr_q1,pSeva221,1000,1.2503665391819412
215,KT2440,Qacr_q1,pSeva221,2000,0.6243014883226187
216,KT2440,Qacr_q2,pSeva221,1,4.753930944532224
217,KT2440,Qacr_q2,pSeva221,5,4.348036082136006
218,KT2440,Qacr_q2,pSeva221,10,4.153309782165102
219,KT2440,Qacr_q2,pSeva221,20,4.443930660145412
220,KT2440,Qacr_q2,pSeva221,30,3.977229107815166
221,KT2440,Qacr_q2,pSeva221,40,3.913139650230444
222,KT2440,Qacr_q2,pSeva221,70,3.8270739360220283
223,KT2440,Qacr_q2,pSeva221,100,3.6854658116277976
224,KT2440,Qacr_q2,pSeva221,200,3.3352050497461896
225,KT2440,Qacr_q2,pSeva221,500,2.898406957287216
226,KT2440,Qacr_q2,pSeva221,1000,2.5147180888684586
227,KT2440,Qacr_q2,pSeva221,2000,1.5717249713003891
228,KT2440,Srpr_s1,pSeva221,1,1.1089247442440566
229,KT2440,Srpr_s1,pSeva221,5,0.9774336146616174
230,KT2440,Srpr_s1,pSeva221,10,0.9362644164573508
231,KT2440,Srpr_s1,pSeva221,20,0.9066060246247012
232,KT2440,Srpr_s1,pSeva221,30,0.8238678963241713
233,KT2440,Srpr_s1,pSeva221,40,0.7672065538352799
234,KT2440,Srpr_s1,pSeva221,70,0.6756711303432109
235,KT2440,Srpr_s1,pSeva221,100,0.63331947506648
236,KT2440,Srpr_s1,pSeva221,200,0.4989444175119706
237,KT2440,Srpr_s1,pSeva221,500,0.32544983288676016
238,KT2440,Srpr_s1,pSeva221,1000,0.19102415681845147
239,KT2440,Srpr_s1,pSeva221,2000,0.08010973311588912
240,KT2440,Srpr_s2,pSeva221,1,1.2722012002257477
241,KT2440,Srpr_s2,pSeva221,5,1.1755066206242717
242,KT2440,Srpr_s2,pSeva221,10,1.1646558638618218
243,KT2440,Srpr_s2,pSeva221,20,1.2354822536338692
244,KT2440,Srpr_s2,pSeva221,30,1.07063424376943
245,KT2440,Srpr_s2,pSeva221,40,1.0619890539920105
246,KT2440,Srpr_s2,pSeva221,70,1.021443957996535
247,KT2440,Srpr_s2,pSeva221,100,0.9744048657178694
248,KT2440,Srpr_s2,pSeva221,200,0.9478261376959596
249,KT2440,Srpr_s2,pSeva221,500,0.7949714072218723
250,KT2440,Srpr_s2,pSeva221,1000,0.5762218166702769
251,KT2440,Srpr_s2,pSeva221,2000,0.3330002033277609
252,KT2440,Srpr_s3,pSeva221,1,1.2387986254377443
253,KT2440,Srpr_s3,pSeva221,5,1.1144472099190266
254,KT2440,Srpr_s3,pSeva221,10,1.104721021359569
255,KT2440,Srpr_s3,pSeva221,20,1.0558712680034177
256,KT2440,Srpr_s3,pSeva221,30,0.9909962506645666
257,KT2440,Srpr_s3,pSeva221,40,0.9701169422707394
258,KT2440,Srpr_s3,pSeva221,70,0.944359466721592
259,KT2440,Srpr_s3,pSeva221,100,0.8950614240570371
260,KT2440,Srpr_s3,pSeva221,200,0.7211599054028822
261,KT2440,Srpr_s3,pSeva221,500,0.4888612801900255
262,KT2440,Srpr_s3,pSeva221,1000,0.2983469062393655
263,KT2440,Srpr_s3,pSeva221,2000,0.13883543072803733
264,KT2440,Srpr_s4,pSeva221,1,1.1881618603538595
265,KT2440,Srpr_s4,pSeva221,5,1.1230665398431905
266,KT2440,Srpr_s4,pSeva221,10,1.1054035257118446
267,KT2440,Srpr_s4,pSeva221,20,1.0433196356904608
268,KT2440,Srpr_s4,pSeva221,30,0.9988000840249698
269,KT2440,Srpr_s4,pSeva221,40,0.9847154332678943
270,KT2440,Srpr_s4,pSeva221,70,0.9677393242742296
271,KT2440,Srpr_s4,pSeva221,100,0.9273130582754912
272,KT2440,Srpr_s4,pSeva221,200,0.8245570306133033
273,KT2440,Srpr_s4,pSeva221,500,0.6411253589915193
274,KT2440,Srpr_s4,pSeva221,1000,0.4758660049032604
275,KT2440,Srpr_s4,pSeva221,2000,0.2793279993044737
276,DH5alpha,1201,pAN,1,0.3944300198016006
277,DH5alpha,1201,pAN,5,0.44882537872856176
278,DH5alpha,1201,pAN,10,0.4003093455285235
279,DH5alpha,1201,pAN,20,0.3968210160696824
280,DH5alpha,1201,pAN,30,0.3701313556743205
281,DH5alpha,1201,pAN,40,0.3719724514311198
282,DH5alpha,1201,pAN,70,0.378513105036135
283,DH5alpha,1201,pAN,100,0.3819253100514493
284,DH5alpha,1201,pAN,200,0.37062303327001983
285,DH5alpha,1201,pAN,500,0.38216867689460055
286,DH5alpha,1201,pAN,1000,0.3324187874032732
287,DH5alpha,1201,pAN,2000,0.3454944198350009
288,DH5alpha,1717,pAN,1,1.0136854916313456
289,DH5alpha,1717,pAN,5,0.9574449024151538
290,DH5alpha,1717,pAN,10,0.8849657947324878
291,DH5alpha,1717,pAN,20,1.041799965135027
292,DH5alpha,1717,pAN,30,1.357418439723183
293,DH5alpha,1717,pAN,40,0.9442802084539426
294,DH5alpha,1717,pAN,70,0.7076849352243751
295,DH5alpha,1717,pAN,100,0.7863267124335562
296,DH5alpha,1717,pAN,200,1.2861366083142731
297,DH5alpha,1717,pAN,500,1.0043956980961375
298,DH5alpha,1717,pAN,1000,0.8551922953189565
299,DH5alpha,1717,pAN,2000,1.2710793474094009
300,DH5alpha,1818,pAN,1,0.33392171230879103
301,DH5alpha,1818,pAN,5,0.24785151716335044
302,DH5alpha,1818,pAN,10,0.3106547944202539
303,DH5alpha,1818,pAN,20,0.4598955984950901
304,DH5alpha,1818,pAN,30,0.7769639665072001
305,DH5alpha,1818,pAN,40,0.912813267975376
306,DH5alpha,1818,pAN,70,1.6244597641189966
307,DH5alpha,1818,pAN,100,1.8670273247741245
